Skip,Ace Well ID,Ace Well Number,Ace Lease Name,Seneca Well Name, API Number, Seneca Well ID
0,0,,,28A 5-7I,04019234060000,7727
0,0,,,28A 50,04019022180000,7463
0,0,,,28A 51,04019022190000,7464
0,0,,,28A 52,04019022200000,7465
0,0,,,28A 53,04019022210000,7466
0,0,,,28A 54,04019022220000,7467
0,0,,,28A 55,04019022230000,7468
0,0,,,28A 56,04019022240000,7469
0,0,,,28A 57,04019022250000,7470
0,0,,,28A 58,04019022260000,7471
0,0,,,28A 59,04019022270000,7472
0,0,,,28A 6,04019021470000,7635
0,0,,,28A 6-2,04019021480000,7636
0,0,,,28A 6-4 P&A,04019021490000,7637
0,0,,,28A 6-6,04019234000000,7723
0,0,,,28A 6-6I,04019234070000,7728
0,0,,,28A 6-7,04019021500000,7638
0,0,,,28A 6-7A,04019234020000,7724
0,0,,,28A 6-7I,04019234080000,7729
0,0,,,28A 6-8,04019021290000,7620
0,0,,,28A 60,04019022280000,7473
0,0,,,28A 61,04019022290000,7474
0,0,,,28A 62 P&A,04019022300000,7475
0,0,,,28A 63,04019022310000,7476
0,0,,,28A 67,04019022350000,7477
0,0,,,28A 68,04019022360000,7478
0,0,,,28A 7-2,04019021520000,7639
0,0,,,28A 7-4,04019021530000,7640
0,0,,,28A 7-6IL,04019234090000,7730
0,0,,,28A 7-7,04019021540000,7641
0,0,,,28A 7-7A,04019213770000,7687
0,0,,,28A 7-7B,04019234040000,7725
0,0,,,28A 7-8,04019021550000,7642
0,0,,,28A 7-9,04019021560000,7643
0,0,,,28A 7-9A,04019201160000,7796
0,0,,,28A 7-9B,04019220720000,7690
0,0,,,28A 70,04019022380000,7479
0,0,,,28A 71,04019022390000,7480
0,0,,,28A 74,04019022420000,7481
0,0,,,28A 76,04019022440000,7482
0,0,,,28A 77,04019022450000,7483
0,0,,,28A 79,04019022470000,7484
0,0,,,28A 8,04019021570000,7644
0,0,,,28A 8-10,04019021630000,7650
0,0,,,28A 8-11 P&A,04019021640000,7651
0,0,,,28A 8-5,04019021580000,7645
0,0,,,28A 8-6,04019021590000,7646
0,0,,,28A 8-7,04019021600000,7647
0,0,,,28A 8-8R P&A,04019021610000,7648
0,0,,,28A 8-9,04019021620000,7649
0,0,,,28A 8-9A,04019201290000,7799
0,0,,,28A 80,04019022480000,7485
0,0,,,28A 85,04019022510000,7486
0,0,,,28A 87,04019022520000,7487
0,0,,,28A 9-10,04019021710000,7657
0,0,,,28A 9-11,04019252110000,7737
0,0,,,28A 9-3,04019220730000,7691
0,0,,,28A 9-4,04019021660000,7652
0,0,,,28A 9-6,04019021670000,7653
0,0,,,28A 9-7,04019021680000,7654
0,0,,,28A 9-8,04019021690000,7655
0,0,,,28A 9-8BW,04019209390000,7682
0,0,,,28A 9-9,04019021700000,7656
0,0,,,28A 92,04019022560000,7488
0,0,,,28A 93,04019022570000,7489
0,0,,,28A 94,04019022580000,7490
0,0,,,28A 95,04019022590000,7491
0,0,,,28A 96,04019022600000,7492
